date,transaction_count,total_revenue,total_quantity,company,dayofweek,month,year,is_weekend
2024-04-15,218,1624.91,473.0,forge,0,4,2024,0
2024-04-16,233,1910.3600000000001,562.0,forge,1,4,2024,0
2024-04-17,219,1994.91,584.0,forge,2,4,2024,0
2024-04-18,292,2091.0,603.0,forge,3,4,2024,0
2024-04-19,314,2526.76,730.0,forge,4,4,2024,0
2024-04-20,370,3243.51,942.0,forge,5,4,2024,1
2024-04-21,290,2713.31,791.0,forge,6,4,2024,1
2024-04-22,223,1876.04,559.0,forge,0,4,2024,0
2024-04-23,244,1979.3600000000001,577.0,forge,1,4,2024,0
2024-04-24,235,2029.96,593.0,forge,2,4,2024,0
2024-04-25,261,1865.4,543.0,forge,3,4,2024,0
2024-04-26,327,2405.5,685.0,forge,4,4,2024,0
2024-04-27,316,2828.03,819.0,forge,5,4,2024,1
2024-04-28,447,3645.32,1057.0,forge,6,4,2024,1
2024-04-29,207,1865.91,541.0,forge,0,4,2024,0
2024-04-30,197,2090.46,606.0,forge,1,4,2024,0
2024-05-01,222,1810.53,526.0,forge,2,5,2024,0
2024-05-02,268,2168.55,626.0,forge,3,5,2024,0
2024-05-03,295,2426.58,691.0,forge,4,5,2024,0
2024-05-04,306,3219.43,918.0,forge,5,5,2024,1
2024-05-05,307,3020.07,866.0,forge,6,5,2024,1
2024-05-06,240,2130.76,625.0,forge,0,5,2024,0
2024-05-07,219,1631.1200000000001,469.0,forge,1,5,2024,0
2024-05-08,207,2132.21,608.0,forge,2,5,2024,0
2024-05-09,224,1970.32,573.0,forge,3,5,2024,0
2024-05-10,301,2307.78,671.0,forge,4,5,2024,0
2024-05-11,271,3131.82,882.0,forge,5,5,2024,1
2024-05-12,380,3353.93,965.0,forge,6,5,2024,1
2024-05-13,207,2050.04,592.0,forge,0,5,2024,0
2024-05-14,199,1929.22,559.0,forge,1,5,2024,0
2024-05-15,202,1854.32,535.0,forge,2,5,2024,0
2024-05-16,234,1787.87,516.0,forge,3,5,2024,0
